category,name,price
arroz,Arroz Agulhinha Tipo 1 Fantástico 100% Nobres 5 kg,"R$ 37,09"
arroz,Kit Arroz Branco Prato Fino Tipo 1 5kg 3 Unidades,"R$ 112,47"
arroz,Arroz Branco Prato Fino Tipo 1 - 5kg,"R$ 37,49"
arroz,Arroz Branco Carrefour Classic Olimpíadas 5Kg,"R$ 25,99"
arroz,Arroz Branco Longo-fino Tipo 1 Tio João 1 Kg,"R$ 7,59"
arroz,Arroz Branco Longo-fino Tipo 1 Camil Todo Dia 5Kg,"R$ 29,99"
arroz,Arroz Branco Longo-fino Tipo 1 Tio João 5 Kg,"R$ 36,09"
arroz,Arroz Branco Longo-fino Tipo 1 Camil Todo Dia 1Kg,"R$ 6,99"
arroz,Arroz Branco Tipo 1 Saboroso 5Kg,"R$ 27,55"
arroz,Arroz Branco Carrefour Classic Olimpíadas 1Kg,"R$ 4,29"
arroz,Arroz Tipo 1 Biju 5 Kg,"R$ 31,55"
arroz,Arroz Branco Longo-fino Tipo 1 Tio João 2Kg,"R$ 15,19"
arroz,Arroz Integral Longo-fino Tipo 1 Tio João 1 Kg,"R$ 8,79"
arroz,Arroz Branco Longo-fino Tipo 1 Prato Fino 1 Kg,"R$ 7,99"
arroz,Arroz Parboilizado Longo-fino Tipo Camil Todo Dia 5 Kg,"R$ 31,49"
arroz,Arroz Bom no prato 5 kg branco Tipo 1,"R$ 26,55"
arroz,Arroz Parboilizado Longo-fino Tipo 1 Tio João 1 Kg,"R$ 8,25"
arroz,Arroz Branco Longo-fino Tipo 1 Meu Biju 1Kg,"R$ 6,49"
arroz,Arroz Parboilizado Longo-fino Tipo 1 Prato Fino 5 Kg,"R$ 35,90"
arroz,Arroz Branco Longo Tipo 1 Albaruska 5Kg,"R$ 35,99"
feijao,Feijão Carioca Tipo 1 Pantera 1Kg,"R$ 6,79"
feijao,"Feijão Carioca Tipo 1, Saboroso 1kg","R$ 5,85"
feijao,Feijão Carioca Tipo 1 Kicaldo 1Kg,"R$ 5,89"
feijao,Feijão Carioca Tipo 1 Camil Todo Dia 1 Kg,"R$ 6,29"
feijao,Feijão Carioca Tipo 1 5 Estrelas 1 Kg,"R$ 4,49"
feijao,Feijão Preto Tipo 1 Kicaldo 1Kg,"R$ 8,29"
feijao,Feijão Preto Carrefour 1 Kg,"R$ 7,49"
feijao,Feijão Solito Carioca Tipo 1 1Kg,"R$ 5,79"
feijao,Feijão Carioca Tipo 1 Super Máximo 1Kg,"R$ 7,49"
feijao,Feijão Carioca Pronto Tipo 1 Camil 490g,"R$ 10,69"
feijao,Feijao Branco Carrefour 500 g,"R$ 7,55"
feijao,Feijão Vermelho Tipo 1 Meu Biju 500g,"R$ 11,15"
feijao,Feijão Preto Tipo 1 Namorado 1 Kg,"R$ 7,65"
feijao,Feijão Carioca Pronto Tipo 1 Camil 380g,"R$ 8,69"
feijao,Feijão Preto Tipo 1 Meu Biju 1Kg,"R$ 8,89"
feijao,Feijão Branco Tipo 1 Meu Biju 500g,"R$ 13,89"
feijao,Feijão Preto Pronto Tipo 1 Camil 380g,"R$ 8,69"
feijao,Feijão Fradinho Tipo 1 Kicaldo 1 kg,"R$ 9,99"
feijao,Feijão Vermelho Tipo 1 Combrasil 500g,"R$ 7,45"
feijao,Feijão Carioca Tipo 1 Vapza Dê Seu Toque Final 500g,"R$ 14,90"
