name,price
Arroz Agulhinha Tipo 1 Fantástico 100% Nobres 5 kg,"R$ 37,09"
Kit Arroz Branco Prato Fino Tipo 1 5kg 3 Unidades,"R$ 112,47"
Arroz Branco Prato Fino Tipo 1 - 5kg,"R$ 37,49"
Arroz Branco Carrefour Classic Olimpíadas 5Kg,"R$ 25,99"
Arroz Branco Longo-fino Tipo 1 Tio João 1 Kg,"R$ 7,59"
Arroz Branco Longo-fino Tipo 1 Camil Todo Dia 5Kg,"R$ 29,99"
Arroz Branco Longo-fino Tipo 1 Tio João 5 Kg,"R$ 36,09"
Arroz Branco Longo-fino Tipo 1 Camil Todo Dia 1Kg,"R$ 6,99"
Arroz Branco Tipo 1 Saboroso 5Kg,"R$ 27,55"
Arroz Branco Carrefour Classic Olimpíadas 1Kg,"R$ 4,29"
Arroz Tipo 1 Biju 5 Kg,"R$ 31,55"
Arroz Branco Longo-fino Tipo 1 Tio João 2Kg,"R$ 15,19"
Arroz Integral Longo-fino Tipo 1 Tio João 1 Kg,"R$ 8,79"
Arroz Branco Longo-fino Tipo 1 Prato Fino 1 Kg,"R$ 7,99"
Arroz Parboilizado Longo-fino Tipo Camil Todo Dia 5 Kg,"R$ 31,49"
Arroz Bom no prato 5 kg branco Tipo 1,"R$ 26,55"
Arroz Parboilizado Longo-fino Tipo 1 Tio João 1 Kg,"R$ 8,25"
Arroz Branco Longo-fino Tipo 1 Meu Biju 1Kg,"R$ 6,49"
Arroz Parboilizado Longo-fino Tipo 1 Prato Fino 5 Kg,"R$ 35,90"
Arroz Branco Longo Tipo 1 Albaruska 5Kg,"R$ 35,99"
